Input	Input_source	Output	Output_source
176951	176951	C04091	KEGG
249	249	C00576	KEGG
47289	47289	C16453	KEGG
13207	13207	C11024	KEGG
13602	13602	C11430	KEGG
8552	8552	C06316	KEGG
5282146	5282146	C12623	KEGG
440962	440962	C06241	KEGG
4075	Matador	C00817	KEGG
4075	Matador	D00377	KEGG
5280960	5280960	C06561	KEGG
8064	8064	C05769	KEGG
439893	439893	C03059	KEGG
2950	2950	C10312	KEGG
2950	2950	D07107	KEGG
6942	6942	C04280	KEGG
122357	122357	C00279	KEGG
5281119	5281119	C08322	KEGG
12315	12315	C10129	KEGG
10977	10977	C08784	KEGG
9871	9871	C07669	KEGG
165130	165130	C00789	KEGG
12090	12090	C09904	KEGG
92150	92150	C05945	KEGG
5281416	5281416	C09263	KEGG
12369	12369	C10183	KEGG
54675777	54675777	C06571	KEGG
54675777	54675777	D07689	KEGG
5881	5881	C02967	KEGG
5881	5881	C01227	KEGG
5881	5881	D08409	KEGG
11520	11520	C09329	KEGG
31244	31244	C10761	KEGG
9958	9958	C07756	KEGG
9958	9958	C06730	KEGG
36294	36294	C00397	KEGG
36294	36294	D00063	KEGG
10786	10786	C08593	KEGG
7166	7166	C04563	KEGG
7590	7590	C05179	KEGG
65533	65533	C00103	KEGG
7409	7409	C04853	KEGG
7409	7409	C07112	KEGG
49	49	C00141	KEGG
5282096	5282096	C12206	KEGG
8914	8914	C06689	KEGG
8914	8914	C14696	KEGG
6035	6035	C03147	KEGG
6035	6035	D01763	KEGG
5610	5610	C02630	KEGG
5610	5610	C00483	KEGG
1549439	1549439	C19719	KEGG
8130	8130	C05837	KEGG
8130	8130	C14390	KEGG
68134	68134	C08275	KEGG
7882	7882	C05546	KEGG
14349	14349	C12203	KEGG
14349	14349	C03710	KEGG
6030	6030	C03141	KEGG
6030	6030	C00105	KEGG
6024	6024	C03135	KEGG
6024	6024	C07761	KEGG
6024	6024	D07635	KEGG
325	325	C06576	KEGG
991	991	C06604	KEGG
160617	160617	C01103	KEGG
99290	99290	C00680	KEGG
8614	8614	C06378	KEGG
4462	4462	C01241	KEGG
4462	4462	D00975	KEGG
11429	11429	C09238	KEGG
5880	5880	C02965	KEGG
5880	5880	C04373	KEGG
11122	11122	C08930	KEGG
446834	446834	C05619	KEGG
441302	441302	C07635	KEGG
7490	7490	C05005	KEGG
637541	637541	C12621	KEGG
12756	12756	C10573	KEGG
9023	9023	C06804	KEGG
24473	24473	C18018	KEGG
11953947	11953947	C11242	KEGG
9828	9828	C07626	KEGG
69732	69732	C20327	KEGG
86	86	C00632	KEGG
7264	7264	C04683	KEGG
6094	6094	C03221	KEGG
7997	7997	C05690	KEGG
49787001	49787001	C05691	KEGG
11525	11525	C09334	KEGG
5479530	5479530	C06683	KEGG
5479530	5479530	D07659	KEGG
24405	24405	C16427	KEGG
24405	24405	D05726	KEGG
10130163	10130163	C11837	KEGG
87642	87642	C00010	KEGG
11567	11567	C09376	KEGG
10962	10962	C08769	KEGG
439233	439233	C00439	KEGG
8601	8601	C06365	KEGG
6560	6560	C14710	KEGG
5280335	5280335	C00319	KEGG
6306	6306	C03494	KEGG
6306	6306	C00407	KEGG
6306	6306	D00065	KEGG
12088	12088	C09902	KEGG
107	107	C05629	KEGG
12332	12332	C10146	KEGG
165381	165381	C06197	KEGG
441480	441480	C08352	KEGG
457	457	C02918	KEGG
255	255	C03779	KEGG
9967	9967	C07765	KEGG
12074	12074	C09888	KEGG
10253	10253	C08053	KEGG
10253	10253	C07588	KEGG
440272	440272	C04256	KEGG
5460448	5460448	C00672	KEGG
439197	439197	C00270	KEGG
13052	13052	C10869	KEGG
80283	80283	C02356	KEGG
439283	439283	C00666	KEGG
124	124	C03589	KEGG
7492	7492	C05009	KEGG
23736	23736	C04022	KEGG
7148	7148	C04542	KEGG
3485	3485	C00185	KEGG
3485	3485	C12518	KEGG
3485	3485	D01120	KEGG
441108	441108	C06630	KEGG
5754	5754	C02804	KEGG
5754	5754	C00735	KEGG
5754	5754	D00088	KEGG
439468	439468	C01284	KEGG
439468	439468	C15990	KEGG
614	614	C16435	KEGG
1145	1145	C01104	KEGG
137	137	C00430	KEGG
137	137	D07567	KEGG
11859	11859	C09669	KEGG
69726	69726	C16359	KEGG
122340	122340	C17644	KEGG
10898	10898	C08705	KEGG
13410	13410	C11231	KEGG
6128	6128	C03264	KEGG
6128	6128	D00132	KEGG
6128	6128	C00280	KEGG
6128	6128	D00051	KEGG
107737	107737	C01177	KEGG
6264	6264	C03440	KEGG
6134	6134	C03273	KEGG
6134	6134	C01970	KEGG
9322	9322	C07111	KEGG
111	111	C02642	KEGG
729	729	C00661	KEGG
13852	13852	C11687	KEGG
6440982	6440982	C16431	KEGG
439853	439853	C02934	KEGG
4649	4649	C01477	KEGG
4649	4649	C02518	KEGG
4649	4649	D00162	KEGG
8371	8371	C06109	KEGG
8371	8371	C18933	KEGG
12233	12233	C10047	KEGG
446475	446475	C06655	KEGG
643820	643820	C09871	KEGG
6343	6343	C03539	KEGG
10690	10690	C08497	KEGG
10690	10690	C00257	KEGG
11005	11005	C08812	KEGG
11005	11005	C06424	KEGG
12035	12035	C09848	KEGG
12035	12035	C06809	KEGG
12035	12035	D00221	KEGG
71563	71563	C06417	KEGG
8180	8180	C05892	KEGG
8180	8180	C17715	KEGG
25517	25517	C12538	KEGG
25517	25517	D01139	KEGG
5280581	5280581	C03242	KEGG
9570	9570	C07366	KEGG
11874	11874	C09684	KEGG
7028	7028	C04387	KEGG
7028	7028	C02765	KEGG
7028	7028	D08449	KEGG
14079	14079	C11918	KEGG
12314	12314	C10128	KEGG
5541	5541	C02534	KEGG
5541	5541	D00384	KEGG
12988	12988	C10805	KEGG
111178	111178	C03290	KEGG
30819	30819	C06501	KEGG
6305	6305	C03493	KEGG
6305	6305	C00078	KEGG
6305	6305	D00020	KEGG
335	335	C01542	KEGG
65076	65076	C18043	KEGG
65080	65080	C03097	KEGG
65080	65080	C11611	KEGG
5957	5957	C03057	KEGG
5957	5957	D02212	KEGG
5957	5957	C00002	KEGG
5957	5957	D08646	KEGG
8038	8038	C05743	KEGG
191190	191190	C01114	KEGG
7732	7732	C05355	KEGG
7732	7732	C19326	KEGG
11315	11315	C09123	KEGG
439168	439168	C00118	KEGG
58	58	C00109	KEGG
11363	11363	C09171	KEGG
11363	11363	C17268	KEGG
4377	4377	C01147	KEGG
12104	12104	C09918	KEGG
3366	3366	C00066	KEGG
3366	3366	D00323	KEGG
31260	31260	C07328	KEGG
866	866	C16440	KEGG
7468	7468	C04922	KEGG
525	525	C00711	KEGG
525	525	C03668	KEGG
525	525	D04843	KEGG
8002	8002	C05695	KEGG
6287	6287	C03470	KEGG
6287	6287	C00183	KEGG
6287	6287	D00039	KEGG
62389	62389	C11263	KEGG
127296	127296	C11174	KEGG
119	119	C00334	KEGG
119	119	D00058	KEGG
443902	443902	C12631	KEGG
6276	6276	C03456	KEGG
6276	6276	C16834	KEGG
1030	1030	C00583	KEGG
1030	1030	D00078	KEGG
5459811	5459811	C01054	KEGG
7265	7265	C04684	KEGG
10723	10723	C08530	KEGG
263	263	C06142	KEGG
263	263	D03200	KEGG
5484731	5484731	C16643	KEGG
440144	440144	C03853	KEGG
6688	6688	C03968	KEGG
15530	15530	C18546	KEGG
12372	12372	C10186	KEGG
6570	6570	C03827	KEGG
6570	6570	C20701	KEGG
6555	6555	C03806	KEGG
1055	1055	C00627	KEGG
13015	13015	C10832	KEGG
11566	11566	C09375	KEGG
10355909	10355909	C18225	KEGG
443479	443479	C11887	KEGG
12793	12793	C10610	KEGG
12793	12793	C02734	KEGG
12527	12527	C10341	KEGG
441350	441350	C07921	KEGG
441350	441350	D00762	KEGG
2723601	Matador	C07648	KEGG
2723601	Matador	D08603	KEGG
12276	12276	C10090	KEGG
65115	65115	C04452	KEGG
13187	13187	C11004	KEGG
12336	12336	C10150	KEGG
12511	12511	C10325	KEGG
12511	12511	C08063	KEGG
439288	439288	C00673	KEGG
439507	439507	C01487	KEGG
7852	7852	C05499	KEGG
165388	165388	C04751	KEGG
5281377	5281377	C09126	KEGG
7144	7144	C04537	KEGG
83126	83126	C16360	KEGG
378	378	C03360	KEGG
4573	4573	C01378	KEGG
12176	12176	C09990	KEGG
4362	4362	C01131	KEGG
4362	4362	C02441	KEGG
679	679	C11143	KEGG
679	679	D01043	KEGG
13351	13351	C11169	KEGG
13351	13351	C16632	KEGG
12302	12302	C10116	KEGG
174	174	C02370	KEGG
174	174	C01380	KEGG
174	174	C15588	KEGG
174	174	D03370	KEGG
174	174	D06418	KEGG
174	174	D06419	KEGG
174	174	D06420	KEGG
174	174	D06421	KEGG
174	174	D06422	KEGG
174	174	D06423	KEGG
11747	11747	C09556	KEGG
10345	10345	C08145	KEGG
7750	7750	C05376	KEGG
7305	7305	C04734	KEGG
7305	7305	C07494	KEGG
12589	12589	C10403	KEGG
12353	12353	C10167	KEGG
8929	8929	C06704	KEGG
8929	8929	C18673	KEGG
10972	10972	C08779	KEGG
439417	439417	C01142	KEGG
8069	8069	C05774	KEGG
8069	8069	D00506	KEGG
193305	193305	C01165	KEGG
13708	13708	C11541	KEGG
8487	8487	C06248	KEGG
7424	7424	C04872	KEGG
14254	14254	C12107	KEGG
8919	8919	C06694	KEGG
11909	11909	C09721	KEGG
8797	8797	C06568	KEGG
8797	8797	C01963	KEGG
644101	644101	C16688	KEGG
193516	193516	C04732	KEGG
4363	4363	C01132	KEGG
134490	134490	C03283	KEGG
445344	445344	C01944	KEGG
439924	439924	C03150	KEGG
5281858	5281858	C10794	KEGG
10656	10656	C08463	KEGG
5280933	5280933	C06426	KEGG
5280933	5280933	D07213	KEGG
12417	12417	C10231	KEGG
168115	168115	C17496	KEGG
65064	65064	C09731	KEGG
449043	449043	C01170	KEGG
11439	11439	C09248	KEGG
11439	11439	C07273	KEGG
11439	11439	D08532	KEGG
1983	Matador	C06804	KEGG
1983	Matador	D00217	KEGG
5280489	5280489	C02094	KEGG
957	957	C00756	KEGG
339	339	C03557	KEGG
5879	5879	C02964	KEGG
5879	5879	C00523	KEGG
49787004	49787004	C05698	KEGG
172502	172502	C04631	KEGG
454	454	C01545	KEGG
21236	21236	C01933	KEGG
12248	12248	C10062	KEGG
11397	11397	C09206	KEGG
8494	8494	C06255	KEGG
864	864	C00725	KEGG
864	864	D00086	KEGG
11162	11162	C08970	KEGG
5862	5862	C02943	KEGG
5862	5862	C00097	KEGG
5862	5862	D00026	KEGG
24748	24748	D07622	KEGG
8128	8128	C05835	KEGG
10994	10994	C08801	KEGG
5280887	5280887	C05960	KEGG
6569	6569	C03826	KEGG
6569	6569	C02845	KEGG
16061258	16061258	C19840	KEGG
5280719	5280719	C04707	KEGG
225936	225936	C03044	KEGG
6137	6137	C03278	KEGG
6137	6137	C00073	KEGG
6137	6137	D00019	KEGG
439562	439562	C01748	KEGG
8629	8629	C06393	KEGG
8629	8629	C00029	KEGG
10927	10927	C08734	KEGG
7691	7691	C05309	KEGG
10851	10851	C08658	KEGG
6140	6140	C03281	KEGG
6140	6140	C00079	KEGG
6140	6140	D00021	KEGG
122356	122356	C02714	KEGG
8194	8194	C05906	KEGG
8194	8194	C02278	KEGG
5437	5437	C02404	KEGG
12091	12091	C09905	KEGG
60961	60961	C00212	KEGG
60961	60961	D00045	KEGG
447466	447466	C19377	KEGG
11146	11146	C08954	KEGG
440317	440317	C13742	KEGG
23327	23327	C00217	KEGG
6256	6256	C03429	KEGG
6256	6256	D00391	KEGG
5281107	5281107	C08211	KEGG
5281107	5281107	D01009	KEGG
10394	10394	C08195	KEGG
10394	10394	C01744	KEGG
65098	65098	C01826	KEGG
11966175	11966175	C05276	KEGG
6324	6324	C03515	KEGG
125468	125468	C08279	KEGG
6131	6131	C03268	KEGG
6131	6131	C00055	KEGG
12416	12416	C10230	KEGG
29131	29131	C19161	KEGG
10303	10303	C08103	KEGG
10303	10303	C19459	KEGG
74563	74563	C06255	KEGG
8093	8093	C05798	KEGG
9855795	9855795	C17277	KEGG
10214	10214	C08014	KEGG
10214	10214	C00053	KEGG
448580	448580	C02712	KEGG
12041	12041	C09854	KEGG
57449	57449	C00739	KEGG
7420	7420	C04865	KEGG
7420	7420	C00587	KEGG
46926227	46926227	C19975	KEGG
444493	444493	C00024	KEGG
84815	84815	C00855	KEGG
7476	7476	C04932	KEGG
9061	9061	C06843	KEGG
2912	2912	C10984	KEGG
2912	2912	D07763	KEGG
439600	439600	C01905	KEGG
51	51	C00026	KEGG
8786	8786	C06557	KEGG
7242	7242	C04656	KEGG
7242	7242	C14403	KEGG
69188	69188	D08274	KEGG
92787	92787	C15484	KEGG
33613	33613	C06827	KEGG
33613	33613	D07452	KEGG
439742	439742	C02512	KEGG
6847	6847	C04165	KEGG
6847	6847	C14091	KEGG
8105	8105	C05810	KEGG
5327118	5327118	C19768	KEGG
13792	13792	C11627	KEGG
439709	439709	C02336	KEGG
121396	121396	C05829	KEGG
121396	121396	D07130	KEGG
6857365	6857365	C01115	KEGG
6565	6565	C03822	KEGG
11552	11552	C09361	KEGG
11552	11552	C07329	KEGG
516892	516892	C12603	KEGG
516892	516892	D01203	KEGG
6271	6271	C03450	KEGG
6271	6271	C13342	KEGG
6271	6271	D01870	KEGG
3614	3614	C00320	KEGG
3614	3614	C05127	KEGG
641301	641301	C05608	KEGG
10460	10460	C08261	KEGG
6578	6578	C03838	KEGG
6809	6809	C04122	KEGG
83887	83887	C00402	KEGG
5282094	5282094	C12204	KEGG
21919	21919	C02132	KEGG
473	473	C01180	KEGG
33032	33032	C00025	KEGG
33032	33032	D00007	KEGG
11571	11571	C09380	KEGG
5280343	5280343	C00389	KEGG
12449	12449	C10263	KEGG
7221	7221	C04632	KEGG
127	127	C00642	KEGG
12957	12957	C10774	KEGG
132862	132862	C03884	KEGG
10857031	10857031	C20325	KEGG
11966122	11966122	C00888	KEGG
6238	6238	C03409	KEGG
6238	6238	C01176	KEGG
6238	6238	D08052	KEGG
445063	445063	C19910	KEGG
10452519	10452519	C19784	KEGG
11460	11460	C09269	KEGG
440333	440333	C04421	KEGG
5994	5994	C00410	KEGG
5994	5994	D00066	KEGG
70914	70914	C00624	KEGG
6629	6629	C03897	KEGG
5280673	5280673	C04409	KEGG
6450190	6450190	C20695	KEGG
10871	10871	C08678	KEGG
10871	10871	C14494	KEGG
3484	3484	C00184	KEGG
159664	159664	C00902	KEGG
854209	854209	C13968	KEGG
777	777	C01279	KEGG
5789	5789	C02851	KEGG
5789	5789	C00214	KEGG
8003	8003	C05696	KEGG
149186	149186	C04221	KEGG
7898	7898	C05572	KEGG
13389	13389	C11208	KEGG
8175	8175	C12307	KEGG
440235	440235	C04132	KEGG
778	778	C05330	KEGG
12323	12323	C10137	KEGG
135	135	C00156	KEGG
130805	130805	C04376	KEGG
76551	76551	C06418	KEGG
21704	21704	D06298	KEGG
440982	440982	C06331	KEGG
440982	440982	C11504	KEGG
4933	4933	C01808	KEGG
4933	4933	C14229	KEGG
440579	440579	C05161	KEGG
6755	6755	C04054	KEGG
6755	6755	C10368	KEGG
7184	7184	C04583	KEGG
7184	7184	D01420	KEGG
31291	31291	D01757	KEGG
11477	11477	C09286	KEGG
11301	11301	C09109	KEGG
7520	7520	C05067	KEGG
439184	439184	C00199	KEGG
8908	8908	C06683	KEGG
7345	7345	C04781	KEGG
5350	5350	C02294	KEGG
8575	8575	C06339	KEGG
6585	6585	C03848	KEGG
6585	6585	D03467	KEGG
171548	171548	C00120	KEGG
171548	171548	D00029	KEGG
6378	6378	C03587	KEGG
