Input	Input_source	Output	Output_source
8209	8209	C05921	KEGG
8209	8209	D05097	KEGG
92974	92974	D01277	KEGG
440940	440940	C06192	KEGG
228491	228491	C11825	KEGG
11811	11811	C09621	KEGG
11811	11811	C03227	KEGG
446570	446570	C15666	KEGG
440114	440114	C03772	KEGG
5280541	5280541	C06123	KEGG
5281168	5281168	C08497	KEGG
102336	102336	C02578	KEGG
10238	10238	C00224	KEGG
11754	11754	C09563	KEGG
4624	4624	C01446	KEGG
4624	4624	D05294	KEGG
439391	439391	C01087	KEGG
5960	5960	C00049	KEGG
5960	5960	D00013	KEGG
3001028	3001028	C02538	KEGG
12665	12665	C10482	KEGG
443437	443437	C11844	KEGG
366	366	C03837	KEGG
328	328	C11527	KEGG
11302	11302	C09110	KEGG
11302	11302	C05293	KEGG
8916	8916	C06691	KEGG
237332	237332	C11101	KEGG
11748	11748	C09557	KEGG
12308	12308	C10122	KEGG
7510	Matador	C05046	KEGG
7510	Matador	D05158	KEGG
599	599	C01127	KEGG
340	340	C02923	KEGG
4650	4650	C01478	KEGG
4650	4650	C00472	KEGG
686704	686704	C20488	KEGG
443201	443201	C11437	KEGG
23497	23497	D07304	KEGG
36921	36921	C07139	KEGG
36921	36921	D08593	KEGG
10315	10315	C08115	KEGG
7807	7807	C05445	KEGG
637775	637775	C00482	KEGG
439495	439495	C01404	KEGG
7762	7762	C05392	KEGG
5280789	5280789	C05431	KEGG
439904	439904	C03089	KEGG
13535	13535	C11360	KEGG
7749	7749	C05375	KEGG
11643	11643	C09452	KEGG
11643	11643	C19362	KEGG
439236	439236	C00620	KEGG
31261	31261	C15499	KEGG
440210	440210	C04058	KEGG
637540	637540	C01772	KEGG
6763	6763	C04068	KEGG
6763	6763	C03243	KEGG
13134	13134	C10951	KEGG
8062	8062	C05767	KEGG
448209	448209	C00128	KEGG
13854	13854	C11689	KEGG
409301	409301	C11146	KEGG
3712	3712	C00422	KEGG
10899	10899	C08706	KEGG
6076	6076	C03199	KEGG
6076	6076	D00350	KEGG
6076	6076	C00575	KEGG
92810	92810	C03681	KEGG
13706	13706	C11539	KEGG
440001	440001	C03410	KEGG
440098	440098	C03733	KEGG
10882	10882	C08689	KEGG
445354	445354	C00473	KEGG
445354	445354	C17276	KEGG
445354	445354	D06543	KEGG
773	773	C00768	KEGG
8658	8658	C06423	KEGG
12077	12077	C09891	KEGG
45259192	45259192	C19700	KEGG
246876	246876	C14441	KEGG
442495	442495	C09893	KEGG
13601	13601	C11429	KEGG
11161	11161	C08969	KEGG
5280498	5280498	C02214	KEGG
150856	150856	C16634	KEGG
29145	29145	D08164	KEGG
69435	69435	C00820	KEGG
6254	6254	C03427	KEGG
8186	8186	C05898	KEGG
133	133	C01149	KEGG
12844	12844	C10661	KEGG
9723	9723	C07520	KEGG
1015	1015	C00346	KEGG
9032	9032	C06813	KEGG
439280	439280	C00643	KEGG
439280	439280	D07339	KEGG
99291	99291	C18623	KEGG
13594	13594	C11420	KEGG
13594	13594	C02395	KEGG
440939	440939	C06189	KEGG
14556929	14556929	C05427	KEGG
5816	5816	C02885	KEGG
5816	5816	C00788	KEGG
5816	5816	D00095	KEGG
439788	439788	C02700	KEGG
222865	222865	C00674	KEGG
101812	101812	C02353	KEGG
14309	14309	C12162	KEGG
145815	145815	C00819	KEGG
5283544	5283544	C17568	KEGG
151438	151438	C13482	KEGG
182230	182230	D07063	KEGG
7854	7854	C05501	KEGG
12178	12178	C09992	KEGG
668	668	C00111	KEGG
8768	8768	C06538	KEGG
8768	8768	C16700	KEGG
439512	439512	C01518	KEGG
7543	7543	C05119	KEGG
7543	7543	C10999	KEGG
5284650	5284650	C14763	KEGG
9189	9189	C06975	KEGG
158980	158980	C02989	KEGG
11583	11583	C09392	KEGG
8005	8005	C05698	KEGG
439811	439811	C02798	KEGG
239	239	C00099	KEGG
239	239	D07561	KEGG
8008	8008	C05701	KEGG
11952	11952	C09764	KEGG
2955	2955	C07666	KEGG
2955	2955	D00592	KEGG
5360315	5360315	C07755	KEGG
12575	12575	C10389	KEGG
36523	36523	C07607	KEGG
31401	31401	C07880	KEGG
31401	31401	D00734	KEGG
13472	13472	C11297	KEGG
13472	13472	C20144	KEGG
9060	9060	C06842	KEGG
9060	9060	C00525	KEGG
5362115	5362115	D01667	KEGG
12599	12599	C10413	KEGG
12599	12599	C00360	KEGG
13695	13695	C11527	KEGG
440194	440194	C04006	KEGG
11513	11513	C09322	KEGG
6440013	6440013	C00223	KEGG
6245	6245	C03416	KEGG
8001	8001	C05694	KEGG
60749	60749	D01155	KEGG
72193709	72193709	C20658	KEGG
5905	5905	C02996	KEGG
5905	5905	D00342	KEGG
644065	644065	C05116	KEGG
5883	5883	C02970	KEGG
5883	5883	D00721	KEGG
16682730	16682730	C11151	KEGG
16682730	16682730	D05464	KEGG
5884	5884	C02972	KEGG
5884	5884	C00005	KEGG
4	4	C05771	KEGG
880	880	C00546	KEGG
92843	92843	C02155	KEGG
14282	14282	C12135	KEGG
5281643	5281643	C10073	KEGG
654	654	C06608	KEGG
75049	75049	C00969	KEGG
123826	123826	C04540	KEGG
5288725	5288725	C02721	KEGG
6288	6288	C00188	KEGG
6288	6288	D00041	KEGG
4775	4775	C01624	KEGG
439610	439610	C01952	KEGG
439153	439153	C00004	KEGG
7910	7910	C05584	KEGG
11579	11579	C09388	KEGG
439939	439939	C03196	KEGG
11914	11914	C09726	KEGG
11914	11914	C01983	KEGG
99478	99478	C00979	KEGG
72880	72880	C03311	KEGG
8453	8453	C06203	KEGG
5280710	5280710	C04654	KEGG
444913	444913	D08846	KEGG
5280633	5280633	C17147	KEGG
6022	6022	C03130	KEGG
6022	6022	C00008	KEGG
92745	92745	C05479	KEGG
92786	92786	C13712	KEGG
14273	14273	C12126	KEGG
441254	441254	C07301	KEGG
5920	5920	C02465	KEGG
5920	5920	D08128	KEGG
834	834	C00542	KEGG
195863	195863	C19702	KEGG
68262	68262	C10331	KEGG
5280450	5280450	C01595	KEGG
443475	443475	C11883	KEGG
73949	73949	C06695	KEGG
7960	7960	C05649	KEGG
364	364	C06393	KEGG
13396	13396	C11216	KEGG
60750	60750	C07650	KEGG
60750	60750	D02368	KEGG
439227	439227	C00408	KEGG
11915	11915	C09727	KEGG
11915	11915	C02137	KEGG
13006	13006	C10823	KEGG
13006	13006	C06105	KEGG
11644	11644	C09453	KEGG
91431	91431	D08022	KEGG
3486	3486	C00186	KEGG
123831	123831	C03626	KEGG
16500	16500	C00498	KEGG
71567	71567	C02265	KEGG
439383	439383	C01056	KEGG
7041	7041	C04405	KEGG
7041	7041	C10787	KEGG
9743	9743	C07540	KEGG
11163	11163	C08971	KEGG
11163	11163	C02037	KEGG
75	75	C05665	KEGG
8010	8010	C05703	KEGG
10349	10349	C08149	KEGG
6227	6227	C03396	KEGG
68934	68934	C02354	KEGG
7449	7449	C04899	KEGG
12079	12079	C09893	KEGG
10952	10952	C08759	KEGG
5282181	5282181	D01518	KEGG
24798714	24798714	C19683	KEGG
10635	10635	C08441	KEGG
10635	10635	C03917	KEGG
10635	10635	D07456	KEGG
10433	10433	C08234	KEGG
10451	10451	C08252	KEGG
10267	10267	C08067	KEGG
10267	10267	C05378	KEGG
7469	7469	C04923	KEGG
7469	7469	C10700	KEGG
91493	91493	C00345	KEGG
12753	12753	C10570	KEGG
440735	440735	C05631	KEGG
439823	439823	C05328	KEGG
13388	13388	C11207	KEGG
440064	440064	C03618	KEGG
14286	14286	C12139	KEGG
14017	14017	C11855	KEGG
14017	14017	C11033	KEGG
6013	6013	C03120	KEGG
6013	6013	C00535	KEGG
6013	6013	D00075	KEGG
4653	4653	C01483	KEGG
878	878	C00409	KEGG
11261	11261	C09069	KEGG
6747	6747	C04046	KEGG
12216	12216	C10030	KEGG
9638853	9638853	C19714	KEGG
11419	11419	C09228	KEGG
440863	440863	C05983	KEGG
7393	7393	C04832	KEGG
7393	7393	C14200	KEGG
21	21	C00659	KEGG
443179	443179	C11410	KEGG
5478003	5478003	C19728	KEGG
439888	439888	C03046	KEGG
68144	68144	C05598	KEGG
449459	449459	C05011	KEGG
449459	449459	D06551	KEGG
56927717	56927717	C19972	KEGG
138	138	C00431	KEGG
11850	11850	C09660	KEGG
11850	11850	C01697	KEGG
161500	161500	C03373	KEGG
12522	12522	C10336	KEGG
105024	105024	C05335	KEGG
8021	8021	C05714	KEGG
10823	10823	C08630	KEGG
1203	1203	C17590	KEGG
443103	443103	C11288	KEGG
8200	8200	C05912	KEGG
443652	443652	C12140	KEGG
10893	10893	C08700	KEGG
15910	15910	C11037	KEGG
12896	12896	C10713	KEGG
7896	7896	C05570	KEGG
7896	7896	C20335	KEGG
24462	24462	C18713	KEGG
6166	6166	C03313	KEGG
6166	6166	C03205	KEGG
6166	6166	D07792	KEGG
7625	7625	C05229	KEGG
12810	12810	C10627	KEGG
444539	444539	C00423	KEGG
444539	444539	C10438	KEGG
10634	10634	C08440	KEGG
10634	10634	C04295	KEGG
10634	10634	D00179	KEGG
8068	8068	C05773	KEGG
222285	222285	C00503	KEGG
222285	222285	D08915	KEGG
168989	168989	C04332	KEGG
637511	637511	C00903	KEGG
656575	656575	C11253	KEGG
656575	656575	D07653	KEGG
9692	9692	C07489	KEGG
11534	11534	C09343	KEGG
853433	853433	C10469	KEGG
854024	854024	C13779	KEGG
221493	221493	C00695	KEGG
11315692	11315692	C19841	KEGG
45479615	45479615	C02091	KEGG
439160	439160	C00085	KEGG
5950	5950	C03047	KEGG
5950	5950	C00041	KEGG
5950	5950	D00012	KEGG
5147	5147	C02058	KEGG
5147	5147	D01811	KEGG
9309	9309	C07098	KEGG
14196	14196	C12041	KEGG
14196	14196	C00915	KEGG
8057	8057	C05762	KEGG
6255	6255	C03428	KEGG
6255	6255	C01971	KEGG
6580	6580	C03843	KEGG
71082	71082	C00515	KEGG
244	244	C00556	KEGG
244	244	C03485	KEGG
244	244	D00077	KEGG
994	994	C02057	KEGG
